#{"t_start": 1754346592.6159396, "env_id": "leoroverpybullet/MyEnv2"}
r,l,t
-69.945278,1147,2388.749648
-48.631671,939,2391.429575
-40.689414,1042,2394.856374
-48.78611,974,2397.59146
-26.96803,949,2400.865922
-43.373635,941,2403.575072
-6738.679344,10707,2422.043956
-3469.740116,10894,2442.20248
-61.440196,1157,2445.171063
-1738.9336,11891,2466.461303
-110.659884,1998,2471.106509
-45.860895,1133,2474.016891
-83.181396,1626,2478.20763
-127.219226,2335,2483.401514
-53.61011,1153,2486.924697
-61.31156,1194,2490.552511
-55.17396,1125,2493.467001
-58.798549,1098,2496.888975
-92.353317,1436,2500.236124
-44.111112,1047,2503.556034
-118.178917,1957,2508.304477
-4189.543566,10813,2528.193865
-87.307506,1354,2532.026166
-62.999417,1317,2535.214966
-78.335155,1428,2539.099361
-114.407511,1963,2543.83885
-72.150962,1282,2547.495257
-85.869318,1238,2550.591208
-49.975883,999,2553.886122
-71.209209,1233,2556.913667
-79.67679,1325,2560.644415
-247.343579,3283,2567.76548
-74.94355,1266,2570.810344
-52.98842,1186,2574.333572
-3583.983088,11017,2593.61215
-100.286325,2026,2598.260063
-99.8299,2146,2603.183286
-124.793271,2451,2608.484804
-100.216476,2220,2613.990796
-81.635018,1978,2618.18401
-84.095401,1873,2622.698819
-48.839134,1169,2626.247961
-51.391797,1236,2629.897132
-43.979739,1052,2632.745506
-46.863998,1114,2636.173193
-55.714805,1045,2638.981236
-171.175791,2617,2644.468179
-48.570805,1089,2647.876564
-88.766711,1809,2652.22364
-63.231327,1535,2656.289368
-61.295327,1489,2659.639547
-38.302995,1178,2663.241913
-70.286116,1368,2667.073569
-48.116178,1268,2670.321496
-40.634978,945,2673.5328
-44.748745,1069,2676.365452
-4986.413032,10718,2695.12404
-30.449281,859,2698.188545
-47.353618,984,2700.935776
-5135.50664,10727,2720.100427
-65.330425,1185,2723.122453
-60.233894,1350,2726.914471
-59.492925,1322,2730.089554
-70.585251,1422,2733.975713
-61.982149,1197,2737.601191
-60.003367,1211,2740.639872
-63.482667,1337,2744.410945
-54.043883,1193,2747.894739
-51.858363,1164,2750.917593
-68.963817,1171,2754.414249
-33.886736,1127,2757.342886
-3024.510484,10785,2776.494923
-100.551521,1357,2780.260826
-59.958688,1142,2783.836693
-72.275245,1407,2787.191002
-3414.945247,10910,2806.913431
-4631.090758,11790,2827.522239
-143.690704,1803,2831.894717
-155.136791,2057,2836.757756
-91.658833,1516,2840.744849
-131.754248,1747,2845.06692
-135.051023,1630,2849.285527
-92.551048,1337,2852.485675
-97.566981,1368,2856.355487
-141.660205,1899,2860.897516
-103.603687,1414,2864.722987
-93.41832,1440,2868.107359
-81.767735,1271,2871.745086
-86.871674,1310,2875.486553
-60.553554,1162,2878.530338
-88.312525,1224,2882.179067
-69.972347,1172,2885.254699
-41.087152,998,2888.610671
-2234.010514,11091,2908.323199
-148.937904,2403,2913.705345
-202.42499,2992,2920.414998
-97.838482,1855,2924.926578
-114.993042,1864,2929.343673
-62.830297,1225,2932.366687
-70.264677,1596,2936.580582
-78.408717,1237,2940.1388
-67.7805,1150,2943.141004
-97.265869,1826,2947.69272
-3953.873127,10891,2967.234181
-128.29542,1816,2971.6968
-84.659358,1515,2975.785243
-82.987246,1436,2979.780248
-61.840507,1286,2982.976224
-76.2587,1518,2987.01189
-105.452868,1650,2991.157483
-52.556773,1065,2994.56037
-59.388703,1253,2997.734082
-42.916518,1045,3001.133893
-87.407898,1223,3004.277839
-4006.607007,10867,3023.814985
-163.077009,2014,3028.543525
-993.952781,11570,3048.542273
-76.183581,1284,3051.873109
-74.292977,1258,3054.59065
-79.589774,1184,3058.169221
-91.249419,1191,3065.663106
-50.748087,1200,3068.715091
-70.329142,1173,3072.377393
-4882.914473,10727,3091.334154
-93.51129,1323,3095.162417
-42.632465,1131,3098.394121
-3940.614784,11041,3119.446858
-3032.687299,11158,3140.49622
-99.89966,1337,3144.344357
-2876.358952,11527,3165.223137
-155.133729,2020,3169.97047
-117.54246,1666,3174.332767
-139.287638,1704,3178.609802
-110.428892,1527,3182.804643
-93.474327,1376,3186.229076
-93.304684,1367,3190.328831
-85.204684,1301,3194.359596
-94.93728,1467,3197.932786
-103.749452,1461,3202.055876
-79.663775,1249,3205.876457
-57.004317,1188,3209.011425
-76.337481,1277,3212.928264
-61.539175,1192,3216.122272
-74.117189,1296,3220.146564
-77.843059,1269,3224.004725
-82.544302,1273,3227.245746
-1246.79556,11337,3248.840374
-386.362165,4652,3257.96746
-243.945833,3957,3266.219172
-224.070313,4146,3274.659026
-110.302609,2091,3281.460106
-72.062812,1632,3286.172707
-89.139759,1898,3294.452353
-150.439178,2812,3300.644283
-167.463949,2956,3313.217957
-3098.719314,10659,3347.11021
-492.499447,5495,3358.796645
-198.735668,3326,3366.047215
-204.569335,3227,3373.880407
-215.6875,3446,3381.31579
-151.349405,2673,3388.394469
-119.944952,2018,3393.757517
-108.506094,2055,3399.250027
-70.043896,1236,3402.677639
-90.762196,1572,3407.17845
-70.403354,1119,3410.92919
-74.209158,1232,3414.332412
-58.941543,1204,3418.294067
-53.599783,1120,3421.548787
-48.493593,1138,3425.378193
-55.678369,1130,3428.580019
-93.811673,1430,3432.783849
-72.174266,1264,3436.888067
-76.465915,1524,3441.234727
-4033.720424,10799,3462.576806
-4677.94436,10865,3483.689885
-3707.509119,10933,3505.200462
-2527.229789,11861,3529.518732
-103.376786,1635,3534.048069
-114.544821,1495,3538.720499
-101.432207,1608,3543.355448
-83.208473,1305,3546.922744
-87.345701,1306,3551.036086
-160.240568,2230,3556.713796
-105.785998,1450,3560.969258
-130.831322,1971,3566.320615
-74.452611,1333,3569.780422
-67.845211,1222,3573.743557
-95.031725,1393,3578.009344
-52.651322,1145,3581.377529
-81.317874,1231,3585.393603
-65.860412,1139,3588.558179
-68.187939,1238,3592.459036
-1834.961369,11091,3614.87919
-229.212467,2862,3622.151773
-133.854307,1988,3627.325883
-177.005093,3544,3635.112576
-188.068438,3409,3643.212966
-3008.74142,10864,3665.449375
-201.083632,2657,3672.416187
-142.309091,2256,3678.070858
-125.888984,2136,3683.141367
-120.915157,1799,3687.984334
-77.686213,1349,3691.53513
-89.537509,1503,3696.043525
