time/fps,time/iterations,time/time_elapsed,time/total_timesteps,train/loss,train/clip_range,train/learning_rate,train/std,train/entropy_loss,train/n_updates,train/approx_kl,train/clip_fraction,train/value_loss,train/explained_variance,train/policy_gradient_loss,rollout/ep_rew_mean,rollout/ep_len_mean
555,48,177,98304,-0.18018515408039093,0.3,0.0003,1.50929856300354,-3.6539558082818986,470,0.015020603,0.066943359375,0.006461419081460917,0.9401917457580566,-0.01763554755889345,-5827.658115130434,3898.3478260869565
550,49,182,100352,-0.16209307312965393,0.3,0.0003,1.501239538192749,-3.6394865229725837,480,0.015221526,0.05419921875,0.003735667626824579,0.9942307472229004,-0.018013127442100086,-5635.333258583333,4152.625
549,50,186,102400,-0.1420901119709015,0.3,0.0003,1.519582986831665,-3.6401997543871403,490,0.0091872,0.0171875,0.16696928928067792,0.9941760301589966,-0.0016290543484501542,-5635.333258583333,4152.625
548,51,190,104448,-0.1708657443523407,0.3,0.0003,1.5260162353515625,-3.65953908264637,500,0.018222146,0.10078125,0.002575344059005147,0.9970899224281311,-0.012498439430783038,-5635.333258583333,4152.625
548,52,194,106496,-0.15506678819656372,0.3,0.0003,1.5548566579818726,-3.688171138614416,510,0.023710623,0.08017578125,0.0023749012951157058,0.9989634156227112,-0.019340029584418515,-5635.333258583333,4152.625
547,53,198,108544,0.32882386445999146,0.3,0.0003,1.5615007877349854,-3.703833781182766,520,0.0071083186,0.0240234375,2.639986163540743,-0.9067479372024536,-0.006805596916819923,-5635.333258583333,4152.625
546,54,202,110592,3.57991099357605,0.3,0.0003,1.562852144241333,-3.7090241841971876,530,0.005740939,0.036083984375,15.799742223997601,0.8242825269699097,-0.001741710162605159,-5635.333258583333,4152.625
543,55,207,112640,-0.0514058843255043,0.3,0.0003,1.5675270557403564,-3.7120743952691555,540,0.023480842,0.124658203125,14.573596594156697,0.8854483366012573,-0.012585635914001614,-5635.333258583333,4152.625
545,56,210,114688,0.8429901599884033,0.3,0.0003,1.5690464973449707,-3.716925426572561,550,0.014240179,0.052392578125,12.337989214621484,0.92817223072052,-0.0029670642063138073,-5635.333258583333,4152.625
547,57,213,116736,0.09878353774547577,0.3,0.0003,1.5696947574615479,-3.71860845759511,560,0.016215306,0.0578125,13.653696840535849,0.9632584452629089,-0.004557305503840326,-5635.333258583333,4152.625
549,58,216,118784,2.915008306503296,0.3,0.0003,1.5706346035003662,-3.719610820710659,570,0.010794345,0.0513671875,17.95122248707339,0.9611753821372986,-0.0027142781240399928,-5635.333258583333,4152.625
539,59,223,120832,2.708930730819702,0.3,0.0003,1.5714824199676514,-3.7209890238940715,580,0.013407763,0.066796875,27.33891494879499,0.9196801781654358,-0.0038333922893798444,-5635.333258583333,4152.625
534,60,229,122880,1.3165819644927979,0.3,0.0003,1.5702284574508667,-3.72079398855567,590,0.014853161,0.0896484375,30.065917840600015,0.8930467963218689,-0.004602058106684126,-6172.5788814,4870.6
536,61,232,124928,0.06472186744213104,0.3,0.0003,1.5786211490631104,-3.7243534445762636,600,0.020078229,0.0548828125,18.14177897069603,0.5271750688552856,-0.0013312621013028547,-6172.5788814,4870.6
538,62,235,126976,-0.0902850329875946,0.3,0.0003,1.5842430591583252,-3.732653932273388,610,0.027104288,0.124755859375,0.21958324667066337,0.9181368947029114,-0.016369741095695646,-6172.5788814,4870.6
540,63,238,129024,0.04858541488647461,0.3,0.0003,1.5865397453308105,-3.7428339451551436,620,0.014935888,0.0552734375,6.457493365881964,0.9609139561653137,-0.0035911580111132936,-6172.5788814,4870.6
542,64,241,131072,0.07897256314754486,0.3,0.0003,1.5939359664916992,-3.749345200508833,630,0.024120172,0.158837890625,1.265760638518259,0.8187564015388489,-0.017068324275896885,-6172.5788814,4870.6
544,65,244,133120,0.04405181109905243,0.3,0.0003,1.6058659553527832,-3.7645283684134485,640,0.019572195,0.15263671875,1.0816054628230631,0.8943563103675842,-0.014974792848806828,-6172.5788814,4870.6
545,66,247,135168,0.03348569571971893,0.3,0.0003,1.6088272333145142,-3.7757860638201235,650,0.020449948,0.10126953125,1.657206271076575,0.9744230508804321,-0.0037618008704157547,-6172.5788814,4870.6
547,67,250,137216,0.08915196359157562,0.3,0.0003,1.6130571365356445,-3.777959871292114,660,0.010543743,0.03115234375,3.897962921438739,0.9151681065559387,0.002399034441623371,-6172.5788814,4870.6
549,68,253,139264,0.5735834240913391,0.3,0.0003,1.6187591552734375,-3.783300556242466,670,0.020095693,0.086572265625,10.098443227820098,0.8436127305030823,-0.005229741342191119,-6172.5788814,4870.6
548,69,257,141312,0.3287094235420227,0.3,0.0003,1.6227468252182007,-3.7895698346197606,680,0.009897901,0.042724609375,15.507617242261768,0.839595377445221,-0.00033332219463773073,-6615.7595491923075,5387.538461538462
550,70,260,143360,0.12195369601249695,0.3,0.0003,1.6336302757263184,-3.7978454351425173,690,0.009745741,0.044873046875,13.141634553205222,-0.5132571458816528,-0.004894206073367968,-6615.7595491923075,5387.538461538462
552,71,263,145408,10.773927688598633,0.3,0.0003,1.6803598403930664,-3.832167239487171,700,0.0106613785,0.035498046875,10.636807647068053,0.9852306246757507,-0.0055775127162633,-6615.7595491923075,5387.538461538462
553,72,266,147456,-0.09653911739587784,0.3,0.0003,1.700941562652588,-3.8744656309485435,710,0.0135617135,0.066015625,0.3358822923153639,0.9620408415794373,-0.003791861271020025,-6615.7595491923075,5387.538461538462
554,73,269,149504,-0.06644340604543686,0.3,0.0003,1.6972837448120117,-3.8827994011342524,720,0.027475882,0.179638671875,0.36223473949357865,0.910933256149292,-0.02733682303223759,-6615.7595491923075,5387.538461538462
556,74,272,151552,-0.06380711495876312,0.3,0.0003,1.7182252407073975,-3.893028677999973,730,0.028105123,0.190869140625,0.2912462424486876,0.9770559668540955,-0.030733030050760134,-6615.7595491923075,5387.538461538462
557,75,275,153600,0.009550005197525024,0.3,0.0003,1.7201972007751465,-3.9024298280477523,740,0.009938296,0.078125,0.6219860598444938,0.7858309745788574,-0.006156611790356692,-6615.7595491923075,5387.538461538462
559,76,278,155648,-0.000490531325340271,0.3,0.0003,1.7446566820144653,-3.9184583254158496,750,0.034150407,0.14794921875,1.414669298613444,0.5446969866752625,-0.012510362881585024,-6615.7595491923075,5387.538461538462
558,77,282,157696,0.26637399196624756,0.3,0.0003,1.7669684886932373,-3.947417626529932,760,0.012966587,0.05263671875,3.6545578236691654,0.7118757367134094,-0.0017421343924070242,-6936.622535629629,5773.037037037037
560,78,285,159744,2.672255277633667,0.3,0.0003,1.7740131616592407,-3.9638828702270983,770,0.015158598,0.02607421875,28.343964963778852,0.9352426528930664,-0.0048618245935358574,-6936.622535629629,5773.037037037037
561,79,288,161792,12.385890007019043,0.3,0.0003,1.7881700992584229,-3.9750838726758957,780,0.019360706,0.04326171875,12.266030629724265,0.9924167990684509,-0.00642834157042671,-6936.622535629629,5773.037037037037
562,80,291,163840,-0.013960257172584534,0.3,0.0003,1.799000859260559,-3.986986330151558,790,0.033794995,0.143359375,0.4601812658365816,0.47901684045791626,-0.020988854256574995,-6936.622535629629,5773.037037037037
563,81,294,165888,-0.06087915599346161,0.3,0.0003,1.814681053161621,-3.9949489876627924,800,0.023225177,0.14814453125,0.47927120407111945,0.9636591076850891,-0.020387679741543253,-6936.622535629629,5773.037037037037
